Sender,Message,Date,Time
~ Wiwik,Mazmur 62-63 selesai,2021-06-13,08:50:13
Vik. Dessy Waiman,"Selamat pagi bu Endang,",2021-06-13,09:29:08
~ Oma Lisa,Selamat pagi bu Desi.semoga cepat sembuh.mau pisah sama noni ya,2021-06-13,12:19:04
~ Tan,``` Mazmur 01 - Mazmur 02 ``` ✅,2021-06-13,12:34:42
~ Tan,``` Mazmur 03 - Mazmur 04 ``` ✅,2021-06-13,12:34:52
Vik. Dessy Waiman,"Selamat siang tante Lisa, terima kasih tante 🙏🏻",2021-06-13,13:14:49
~ Yoppie,Maz 62-63 done...,2021-06-13,21:12:32
~ Tom,Maz 58-63 done,2021-06-13,22:44:42
Ibu Kartika,_Maz 62-63_ ✓,2021-06-13,22:56:07
~ Gracia,Mzm 31-40 done,2021-06-13,23:31:58
~ Lidia,mzm 9-20 done,2021-06-13,23:37:37
